State,State-County,POLLUTANT,Emissions (Tons),Pollutant Type,SCC Code,EIS Sector,Source Description,SCC LEVEL 1,SCC LEVEL 2,SCC LEVEL 3,SCC LEVEL 4,EPA Region,FIPS
Oregon,OR - Baker,Carbon Monoxide,22.01258,CAP,2202610080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Combination Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Volatile Organic Compounds,2.87729,CAP,2202610080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Combination Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM10 Primary (Filt + Cond),2.84039,CAP,2202610080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Combination Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM2.5 Primary (Filt + Cond),1.93965,CAP,2202610080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Combination Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Ammonia,0.29646,CAP,2202610080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Combination Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Sulfur Dioxide,0.05168,CAP,2202610080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Combination Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Carbon Monoxide,7.57353,CAP,2202320080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Light Commercial Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Nitrogen Oxides,6.44563,CAP,2202320080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Light Commercial Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Volatile Organic Compounds,1.27316,CAP,2202320080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Light Commercial Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM10 Primary (Filt + Cond),0.41620,CAP,2202320080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Light Commercial Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM2.5 Primary (Filt + Cond),0.35383,CAP,2202320080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Light Commercial Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Ammonia,0.04906,CAP,2202320080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Light Commercial Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Sulfur Dioxide,0.00391,CAP,2202320080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Light Commercial Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Nitrogen Oxides,2.13053,CAP,2202540080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Motor Home,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Carbon Monoxide,0.78269,CAP,2202540080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Motor Home,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Volatile Organic Compounds,0.20451,CAP,2202540080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Motor Home,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM10 Primary (Filt + Cond),0.12119,CAP,2202540080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Motor Home,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM2.5 Primary (Filt + Cond),0.09397,CAP,2202540080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Motor Home,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Ammonia,0.00898,CAP,2202540080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Motor Home,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Sulfur Dioxide,0.00135,CAP,2202540080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Motor Home,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Nitrogen Oxides,25.13100,CAP,2202410080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Other Buses,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Carbon Monoxide,5.52348,CAP,2202410080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Other Buses,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Volatile Organic Compounds,1.06207,CAP,2202410080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Other Buses,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM10 Primary (Filt + Cond),0.94800,CAP,2202410080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Other Buses,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM2.5 Primary (Filt + Cond),0.80898,CAP,2202410080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Other Buses,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Ammonia,0.03381,CAP,2202410080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Other Buses,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Sulfur Dioxide,0.00662,CAP,2202410080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Other Buses,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Carbon Monoxide,3.48603,CAP,2202210080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Passenger Car,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Nitrogen Oxides,0.39953,CAP,2202210080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Passenger Car,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Volatile Organic Compounds,0.20943,CAP,2202210080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Passenger Car,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM10 Primary (Filt + Cond),0.01866,CAP,2202210080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Passenger Car,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM2.5 Primary (Filt + Cond),0.00717,CAP,2202210080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Passenger Car,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Ammonia,0.00582,CAP,2202210080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Passenger Car,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Sulfur Dioxide,0.00088,CAP,2202210080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Passenger Car,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Carbon Monoxide,59.62813,CAP,2202310080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Passenger Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Nitrogen Oxides,43.76412,CAP,2202310080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Passenger Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Volatile Organic Compounds,8.79880,CAP,2202310080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Passenger Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM10 Primary (Filt + Cond),2.65686,CAP,2202310080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Passenger Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM2.5 Primary (Filt + Cond),2.19721,CAP,2202310080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Passenger Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Ammonia,0.34804,CAP,2202310080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Passenger Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Sulfur Dioxide,0.02954,CAP,2202310080,Mobile - On-Road Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Passenger Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Volatile Organic Compounds,5.21221,CAP,2202000062,Gas Stations,Onroad,Mobile Sources,Highway Vehicles - Diesel,Refueling,Total Spillage and Displacement,10,41001
Oregon,OR - Baker,Nitrogen Oxides,2.00997,CAP,2202510080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Refuse Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Carbon Monoxide,0.69490,CAP,2202510080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Refuse Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Volatile Organic Compounds,0.10300,CAP,2202510080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Refuse Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM10 Primary (Filt + Cond),0.08614,CAP,2202510080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Refuse Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM2.5 Primary (Filt + Cond),0.06567,CAP,2202510080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Refuse Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Ammonia,0.01037,CAP,2202510080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Refuse Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Sulfur Dioxide,0.00169,CAP,2202510080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Refuse Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Nitrogen Oxides,3.07891,CAP,2202430080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,School Bus,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Carbon Monoxide,1.07413,CAP,2202430080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,School Bus,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Volatile Organic Compounds,0.30494,CAP,2202430080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,School Bus,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM10 Primary (Filt + Cond),0.16344,CAP,2202430080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,School Bus,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM2.5 Primary (Filt + Cond),0.12597,CAP,2202430080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,School Bus,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Ammonia,0.01803,CAP,2202430080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,School Bus,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Sulfur Dioxide,0.00246,CAP,2202430080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,School Bus,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Nitrogen Oxides,2.62477,CAP,2202530080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Single Unit Long-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Carbon Monoxide,1.39764,CAP,2202530080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Single Unit Long-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Volatile Organic Compounds,0.19031,CAP,2202530080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Single Unit Long-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM10 Primary (Filt + Cond),0.15093,CAP,2202530080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Single Unit Long-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM2.5 Primary (Filt + Cond),0.09573,CAP,2202530080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Single Unit Long-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Ammonia,0.04033,CAP,2202530080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Single Unit Long-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Sulfur Dioxide,0.00400,CAP,2202530080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Single Unit Long-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Nitrogen Oxides,56.67649,CAP,2202520080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Single Unit Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Carbon Monoxide,29.37228,CAP,2202520080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Single Unit Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Volatile Organic Compounds,5.27154,CAP,2202520080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Single Unit Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM10 Primary (Filt + Cond),3.08085,CAP,2202520080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Single Unit Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM2.5 Primary (Filt + Cond),2.07367,CAP,2202520080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Single Unit Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Ammonia,0.77853,CAP,2202520080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Single Unit Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Sulfur Dioxide,0.07852,CAP,2202520080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Single Unit Short-haul Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Nitrogen Oxides,2.26935,CAP,2202420080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Transit Bus,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Carbon Monoxide,0.91743,CAP,2202420080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Transit Bus,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Volatile Organic Compounds,0.16105,CAP,2202420080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Transit Bus,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM10 Primary (Filt + Cond),0.05669,CAP,2202420080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Transit Bus,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM2.5 Primary (Filt + Cond),0.04371,CAP,2202420080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Transit Bus,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Ammonia,0.00827,CAP,2202420080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Transit Bus,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Sulfur Dioxide,0.00136,CAP,2202420080,Mobile - On-Road Diesel Heavy Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Diesel,Transit Bus,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM10 Primary (Filt + Cond),0.00784,CAP,2209210080,Mobile - On-Road non-Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Electricity,Passenger Car,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM2.5 Primary (Filt + Cond),0.00106,CAP,2209210080,Mobile - On-Road non-Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Electricity,Passenger Car,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM10 Primary (Filt + Cond),0.00108,CAP,2209310080,Mobile - On-Road non-Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Electricity,Passenger Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Carbon Monoxide,0.06715,CAP,2205320080,Mobile - On-Road non-Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Ethanol (E-85),Light Commercial Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Nitrogen Oxides,0.00371,CAP,2205320080,Mobile - On-Road non-Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Ethanol (E-85),Light Commercial Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Volatile Organic Compounds,0.00368,CAP,2205320080,Mobile - On-Road non-Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Ethanol (E-85),Light Commercial Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Ammonia,0.00050,CAP,2205320080,Mobile - On-Road non-Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Ethanol (E-85),Light Commercial Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM10 Primary (Filt + Cond),0.00042,CAP,2205320080,Mobile - On-Road non-Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Ethanol (E-85),Light Commercial Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Carbon Monoxide,0.07183,CAP,2205210080,Mobile - On-Road non-Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Ethanol (E-85),Passenger Car,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Volatile Organic Compounds,0.00421,CAP,2205210080,Mobile - On-Road non-Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Ethanol (E-85),Passenger Car,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Nitrogen Oxides,0.00233,CAP,2205210080,Mobile - On-Road non-Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Ethanol (E-85),Passenger Car,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Ammonia,0.00054,CAP,2205210080,Mobile - On-Road non-Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Ethanol (E-85),Passenger Car,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,PM10 Primary (Filt + Cond),0.00051,CAP,2205210080,Mobile - On-Road non-Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Ethanol (E-85),Passenger Car,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Carbon Monoxide,0.98007,CAP,2205310080,Mobile - On-Road non-Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Ethanol (E-85),Passenger Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Volatile Organic Compounds,0.05170,CAP,2205310080,Mobile - On-Road non-Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Ethanol (E-85),Passenger Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Nitrogen Oxides,0.04987,CAP,2205310080,Mobile - On-Road non-Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Ethanol (E-85),Passenger Truck,All on and off-network processes except refueling,10,41001
Oregon,OR - Baker,Ammonia,0.00640,CAP,2205310080,Mobile - On-Road non-Diesel Light Duty Vehicles,Onroad,Mobile Sources,Highway Vehicles - Ethanol (E-85),Passenger Truck,All on and off-network processes except refueling,10,41001
